,column name,column unique values,column unique values amount
column 0,How old are you?,['25-34' '45-54' '35-44' '18-24' '65 or over' '55-64' 'under 18'],7
column 1,What industry do you work in?,"['Education (Higher Education)' 'Computing or Tech'
 'Accounting, Banking & Finance' ... 'Environmental science '
 'User Experience Design' 'Fast food']",1210
column 2,Job title,"['Research and Instruction Librarian'
 'Change & Internal Communications Manager' 'Marketing Specialist' ...
 'Lead Clinical Scientist' 'Director of Content and Brand'
 'Physical therapist assistant']",14279
column 3,Please indicate the currency,['USD' 'GBP' 'CAD' 'EUR' 'AUD/NZD' 'Other' 'CHF' 'ZAR' 'SEK' 'HKD' 'JPY'],11
column 4,What country do you work in?,"['United States' 'United Kingdom' 'US' 'USA' 'Canada' 'United Kingdom '
 'usa' 'UK' 'Scotland ' 'U.S.' 'United States ' 'The Netherlands'
 'Australia ' 'Spain' 'us' 'Usa' 'England' 'finland'
 'United States of America' 'France' 'United states' 'Scotland' 'USA '
 'United states ' 'Germany' 'UK ' 'united states' 'Ireland' 'India'
 'Australia' 'Uk' 'United States of America ' 'U.S. ' 'canada' 'Canada '
 'U.S>' 'ISA' 'Argentina' 'Great Britain ' 'US ' 'United State' 'U.S.A'
 'Denmark' 'U.S.A.' 'America' 'Netherlands' 'netherlands' 'England '
 'united states of america' 'Ireland ' 'Switzerland' 'Netherlands '
 'Bermuda' 'Us' 'The United States' 'United State of America' 'Germany '
 'Malaysia' 'Mexico ' 'United Stated' 'South Africa ' 'Belgium'
 'Northern Ireland' 'u.s.' 'South Africa' 'UNITED STATES' 'united States'
 'Sweden' 'Hong Kong' 'Kuwait' 'Norway' 'Sri lanka' 'Contracts'
 'USA-- Virgin Islands' 'United Statws' 'England/UK' 'U.S'
 ""We don't get raises, we get quarterly bonuses, but they periodically asses income in the area you work, so I got a raise because a 3rd party assessment showed I was paid too little for the area we were located""
 'Unites States ' 'Usa ' 'U.S.A. ' 'England, UK.' 'Greece' 'Japan'
 'U. S. ' 'Britain ' 'United Sates' 'Japan ' 'Austria' 'Brazil'
 'Canada, Ottawa, ontario' 'Global' 'Sweden ' 'United States of American '
 'FRANCE' 'Uniited States' 'United Kingdom (England)'
 'Worldwide (based in US but short term trips aroudn the world)' 'CANADA '
 'Canadw' 'Hungary' 'Luxembourg' 'United Sates of America' 'ireland'
 'United States (I work from home and my clients are all over the US/Canada/PR'
 'Colombia' 'CANADA' 'Unted States' 'germany' 'United Statesp'
 'United Stattes' 'United Statea' 'United Kingdom.' 'Mexico' 'New Zealand'
 'Trinidad and Tobago' 'Unites States' 'United Statees' 'United kingdom'
 'Cayman Islands' 'UNited States' 'Can'
 'I am located in Canada but I work for a company in the US'
 'United kingdom ' 'Uniyed states' 'Uniyes States'
 'United States of Americas' 'U.A.' 'Czech republic' 'Czechia' 'Latvia'
 'Finland' 'U. S.' 'Puerto Rico' 'US of A' 'Rwanda'
 'United States of america ' 'United Arab Emirates ' 'Bangladesh '
 'Spain ' 'U.K. ' 'Romania' 'U.SA' 'United Kindom' 'United Status'
 'New Zealand ' 'Currently finance' ' U.S.' 'Serbia' 'Philippines'
 'Russia ' 'Poland' 'UXZ' 'czech republic' 'England, UK' 'Turkey' 'Canda'
 'Puerto Rico ' 'Canada and USA' 'Catalonia'
 '$2,175.84/year is deducted for benefits' 'uk' 'France ' 'Italy (South)'
 'Jersey, Channel islands' 'Uk ' 'China' 'Virginia' 'Afghanistan' 'Israel'
 'U.s.' 'Great Britain' 'U.s.a.' 'USS' 'Denmark ' 'Uniteed States'
 'New Zealand Aotearoa' 'U.K.' 'Hartford' 'Japan, US Gov position'
 'Csnada' 'United Stares' 'New zealand' 'Mainland China' 'I.S.'
 'UK (Northern Ireland)' 'UK for U.S. company' ' US' 'Unites states ' 'NZ'
 'Us ' 'Hong Kong ' 'Taiwan' 'Canad' 'Unite States' 'australia' 'The US'
 'united states ' 'The Netherlands ' 'Cambodia'
 'United states of America ' 'Vietnam' 'Remote' 'Singapore' 'South Korea'
 'Czech Republic ' 'Thailand' 'Bangladesh' 'Lithuania' 'Eritrea'
 'Indonesia' 'Singapore '
 'For the United States government, but posted overseas' 'IS'
 'Switzerland ' 'United Kingdomk' 'Italy' ' New Zealand' 'Cuba' 'Slovenia'
 'Australi' ""Cote d'Ivoire"" 'united kingdom'
 'From Romania, but for an US based company' 'Somalia'
 'Wales (United Kingdom)' 'England, Gb' 'Czech Republic' 'UnitedStates'
 'Sri Lanka' 'spain' 'Danmark' 'U.K. (northern England)' 'U.K' 'NL'
 'the Netherlands' 'Nederland' 'Slovakia' 'United States of america'
 'Portugal ' 'England, United Kingdom' 'Sierra Leone' 'Englang'
 'United statew' 'UAE' 'Belgium '
 'bonus based on meeting yearly goals set w/ my supervisor'
 'International ' 'The Bahamas ' 'Wales'
 ""I earn commission on sales. If I meet quota, I'm guaranteed another 16k min. Last year i earned an additional 27k. It's not uncommon for people in my space to earn 100k+ after commission. ""
 'Costa Rica' ' United States' 'United Statues' 'Untied States'
 'USA (company is based in a US territory, I work remote)' 'Chile'
 'denmark' 'UK (England)' 'UK, remote' 'Scotland, UK' 'USAB'
 'Unitied States' 'Norway ' 'Qatar' 'United Sttes' 'Remote (philippines)'
 'Brazil ' 'Unites kingdom ' 'South africa' 'Portugal' 'united stated'
 'United States Of America' 'Nigeria' 'Panamá' 'Northern Ireland '
 'england' 'SWITZERLAND'
 'Austria, but I work remotely for a Dutch/British company'
 ""I work for an US based company but I'm from Argentina.""
 'I was brought in on this salary to help with the EHR and very quickly was promoted to current position but compensation was not altered. '
 'Uniter Statez' 'U. S ' 'Congo' 'United states of America' 'Uruguay'
 'Pakistan' 'Brasil' 'USA tomorrow ' 'United Stateds'
 'n/a (remote from wherever I want)' 'singapore'
 'US govt employee overseas, country withheld' 'usa ' 'Malaysia ' 'Uganda'
 'Malta' 'Saudi Arabia' 'Bulgaria' 'Estonia' 'Morocco' 'new zealand'
 'Africa' 'Ecuador' 'Zimbabwe' 'Ghana' 'San Francisco' 'Usat' '🇺🇸 '
 'Luxemburg' 'Unitef Stated' 'UA' 'Wales, UK' 'United Stares ' 'Croatia '
 'England, United Kingdom ' 'United STates' 'USaa' 'uSA' 'South Korea '
 'The netherlands' 'Ukraine ' 'america' 'switzerland'
 'United States- Puerto Rico'
 'From New Zealand but on projects across APAC' 'Y' 'United y'
 'Wales (UK)' 'Isle of Man' 'Northern Ireland, United Kingdom' 'europe'
 'California ' 'UK, but for globally fully remote company' 'Australian '
 'México' 'Jamaica' 'uS' 'USD' 'the netherlands'
 ""USA, but for foreign gov't"" 'japan' 'Kenya' 'Jordan' 'United Statss'
 'ARGENTINA BUT MY ORG IS IN THAILAND' 'United states of america' 'UsA'
 'I work for a UAE-based organization, though I am personally in the US.'
 'United  States' 'france' 'Aotearoa New Zealand' 'na' 'Policy' 'Cyprus'
 'hong konh' 'United States is America' 'Liechtenstein'
 'Company in Germany. I work from Pakistan.' 'croatia' 'Canadá' 'ENGLAND'
 'United States of American' 'U.S.A ' 'INDIA' 'Bosnia and Herzegovina'
 'NIGERIA' 'Poland ']",368
column 5,"If you're in the U.S., what state do you work in?","['Massachusetts' '-99' 'Tennessee' 'Wisconsin' 'South Carolina'
 'New Hampshire' 'Arizona' 'Missouri' 'Florida' 'Pennsylvania' 'Michigan'
 'Minnesota' 'Illinois' 'California' 'Georgia' 'Ohio'
 'District of Columbia' 'Maryland' 'Texas' 'Virginia' 'North Carolina'
 'New York' 'New Jersey' 'Rhode Island' 'Colorado' 'Oregon' 'Washington'
 'Indiana' 'Iowa' 'Nebraska' 'Oklahoma' 'Maine' 'Connecticut'
 'South Dakota' 'West Virginia' 'Idaho' 'Louisiana' 'Montana' 'Kentucky'
 'North Dakota' 'Kansas' 'Vermont' 'Arkansas' 'Alabama' 'Nevada'
 'Delaware' 'New Mexico' 'Hawaii' 'Utah' 'Mississippi' 'Kentucky, Ohio'
 'District of Columbia, Virginia' 'District of Columbia, Maryland'
 'Alaska' 'Arizona, Washington' 'Georgia, New York' 'California, Colorado'
 'California, Oregon'
 'District of Columbia, Maryland, Pennsylvania, Virginia'
 'Arizona, California' 'North Carolina, Utah' 'Wyoming' 'Ohio, Wyoming'
 'Georgia, Tennessee' 'Massachusetts, Oregon' 'Alabama, Montana'
 'Alabama, District of Columbia' 'California, Pennsylvania'
 'New Jersey, Pennsylvania' 'Georgia, Washington' 'Alaska, Maryland'
 'Michigan, South Carolina' 'Massachusetts, Rhode Island'
 'Georgia, Minnesota' 'Colorado, Nevada'
 'Maine, Massachusetts, New Hampshire, North Carolina'
 'Alabama, Minnesota, Nevada' 'New Jersey, New York' 'Arizona, Utah'
 'Alabama, Kansas' 'California, Oklahoma' 'Illinois, Wisconsin'
 'Illinois, Kentucky' 'Arizona, California, Nevada, Texas'
 'Alaska, Idaho, Oregon, Utah, Washington' 'Massachusetts, Pennsylvania'
 'Nevada, Oregon' 'New Jersey, Virginia' 'Montana, Wyoming'
 'Colorado, Massachusetts' 'District of Columbia, Maryland, Virginia'
 'Massachusetts, Vermont' 'Massachusetts, New Hampshire'
 'Arkansas, Iowa, Massachusetts, Ohio, Wyoming' 'New York, Texas'
 'California, Montana' 'Iowa, Utah, Vermont' 'Texas, Virginia'
 'Utah, Vermont' 'Arkansas, Illinois' 'Georgia, Massachusetts'
 'Maryland, Virginia' 'Florida, Georgia, South Carolina'
 'Arkansas, Idaho, Kansas, Louisiana, Michigan, Mississippi, Nevada, New York, South Carolina, Tennessee, Washington'
 'California, Texas' 'Indiana, Ohio' 'Ohio, Washington' 'Kansas, Missouri'
 'Colorado, Illinois' 'Arizona, Hawaii, Illinois, Michigan, Utah, Wyoming'
 'California, New Jersey' 'Louisiana, Washington' 'Maryland, New York'
 'District of Columbia, Washington' 'Delaware, Pennsylvania'
 'Illinois, North Carolina' 'Indiana, Massachusetts'
 'Florida, New Hampshire, Wisconsin' 'Pennsylvania, Rhode Island'
 'New York, Oregon, Vermont' 'Iowa, Nebraska' 'California, New York'
 'Arizona, New York'
 'California, District of Columbia, Illinois, Iowa, Maryland, Minnesota'
 'Oregon, Washington' 'New York, Virginia' 'Mississippi, Missouri'
 'California, Maryland'
 'California, Illinois, Massachusetts, North Carolina, South Carolina, Virginia'
 'Alabama, California' 'Michigan, Texas, Washington' 'Alabama, Oregon']",132
column 6,What city do you work in?,['Boston' 'Cambridge' 'Chattanooga' ... 'Galena' 'Newbury' 'Colorado'],4793
column 7,How many years of professional work experience do you have overall?,"['5-7 years' '8 - 10 years' '2 - 4 years' '21 - 30 years' '11 - 20 years'
 '1 year or less' '41 years or more' '31 - 40 years']",8
column 8,How many years of professional work experience do you have in your field?,"['5-7 years' '2 - 4 years' '21 - 30 years' '11 - 20 years'
 '1 year or less' '8 - 10 years' '31 - 40 years' '41 years or more']",8
column 9,What is your highest level of education completed?,"[""Master's degree"" 'College degree' 'PhD' '-99' 'Some college'
 'High School' 'Professional degree (MD, JD, etc.)']",7
column 10,What is your gender?,"['Woman' 'Non-binary' 'Man' '-99' 'Other or prefer not to answer'
 'Prefer not to answer']",6
